word,word_normalized,num_raw_variants
ábə́ðɔ́,ábúðɔ́,2
ácám,ácám,1
ácámá,ácámá,1
kádám,ádám,7
ádàm,ádám,7
sádǎn,ádám,7
ádám,ádám,7
kadam,ádám,7
adam,ádám,7
kádàm,ádám,7
édíjɛ̂,ádìjɛ̀,1
ádɔ́ŋnɔ́,ádɔ̀ŋðɔ́,5
àdɔ̀ŋnɔ́,ádɔ̀ŋðɔ́,5
ádɔ̀ŋnɔ̀,ádɔ̀ŋðɔ́,5
àdɔ̀ŋnɔ̀,ádɔ̀ŋðɔ́,5
âdɔ̀ŋnɔ́,ádɔ̀ŋðɔ́,5
ádɔ̀ŋt̪íŋì,ádɔ̀ŋðɔ́íŋì,1
àdɔ̀ŋnɛ̀,ádɔ̀ŋɔ̀nɛ̀,3
ádɛ̀ŋnɛ̌,ádɔ̀ŋɔ̀nɛ̀,3
ádɛ̀ŋnɛ̀,ádɔ̀ŋɔ̀nɛ̀,3
áŋɔ́ŋníjí,ádɔ́ŋɔ́níjí,1
ádə́ɽɔ́lɛ́,ádə́ɽɔ́lɛ́,2
ádə́ɽálɛ̂,ádə́ɽɔ́lɛ́,2
ád̪ùɾì,ád̪ùɾɔ́,3
àd̪úɾǐ,ád̪ùɾɔ́,3
ádùrú,ád̪ùɾɔ́,3
sádàn,áfàn,2
áfàn,áfàn,2
ágílà,ágà,1
ágávə́lɛ̂ðɛ̀,ágà_və́lɛ̀ðɛ̀,2
ágávə́lɛ̂ðɛ̌,ágà_və́lɛ̀ðɛ̀,2
kákàgɛ̀,ágàgɛ́,1
ágátɛ́və́lɛ̂ðɛ̀,ágàtɛ́_və́lɛ̀ðɛ̀,1
ágátɛ́və́lɛ̂ðɛ̌r,ágàtɛ́_və́lɛ̀ðɛ̀ŕ,1
ágáŋîvə̀lɛ̀ðɛ̌,ágàŋɛ̂_və̀lɛ̀ðɛ̀,2
ágáŋîvə̀lɛ̀ðɛ̀,ágàŋɛ̂_və̀lɛ̀ðɛ̀,2
ágáð,ágá,1
ágádúró,ágá_d̪ùɾɔ́,3
ákád̪úrɔ́,ágá_d̪ùɾɔ́,3
ágád̪úrɔ́,ágá_d̪ùɾɔ́,3
ágádúrɔ̀,ágá_d̪úɾɔ̀,3
ákád̪úrɔ̀,ágá_d̪úɾɔ̀,3
ágád̪úrɔ̀,ágá_d̪úɾɔ̀,3
ágáŋîjàt̪à,ágá_íjàt̪à,1
ágágâɾǎ,ágá_káɾà,2
ágágâra,ágá_káɾà,2
ágánɔ̂nà,ágá_nɔ́nà,4
ǎgánɔ̂nǎ,ágá_nɔ́nà,4
ágánɔ́nà,ágá_nɔ́nà,4
ígánònà,ágá_nɔ́nà,4
ágárŋɔ̀,ágá_rúŋɔ̀,1
ágát̪ə̀vɔ́,ágá_t̪ə̀vɔ́,1
ágâvə̀lɛ̀ðɔ́,ágá_və̀lɛ̀ðɔ́,1
hágárɔ́ðà,ágá_ɾɔ́ðà,1
ágáðɛ́gàɾǎ,ágátɛ́_káɾà,1
ágáŋî,ágáŋɛ̂,3
ágáŋîí,ágáŋɛ̂,3
ágáŋî́,ágáŋɛ̂,3
ágáŋîjàjàt̪à,ágáŋɛ̂_jàjàt̪à,1
ágáðɛ́gàɾà,ágáŋɛ̂_kàɾà,1
ágáŋîmàt̪à,ágáŋɛ̂_màt̪à,1
ágáŋîvə̀lɛ̀ðà,ágáŋɛ̂_və̀lɛ̀ðà,1
ǎgáŋîvlɛ̀ðɔ́,ágáŋɛ̂_və̀lɛ̀ðɔ́,2
ágáŋîvlɛ̀ðɔ́,ágáŋɛ̂_və̀lɛ̀ðɔ́,2
áíɲár,ágéɲár,2
ágéɲár,ágéɲár,2
ágíɲárɛ́və́lɛ̀ðà,ágéɲár_və́lɛ̀ðà,3
ágíɲárvə̀lɛ̀ðà,ágéɲár_və́lɛ̀ðà,3
ágíɲárvə́lɛ̀ðà,ágéɲár_və́lɛ̀ðà,3
ágéɲárvə́lɛ̂ðɔ́,ágéɲár_və́lɛ̀ðɔ́,1
ágíɲárvə́lɛ̂ðɛ̀,ágéɲár_və́lɛ̀ðɛ̀,1
ájà,ájà,1
ájáŋrɛ́,ájàŕ,1
áját̪à,ájàt̪à,1
âjt̪ɔ́,ájàt̪ɔ́,1
ájàŋá,ájàŋá,2
ájàŋà,ájàŋá,2
àjóŋò,ájáŋ̀,2
ájáŋ̀,ájáŋ̀,2
ájnɛ́,ájènɛ́,1
ájɛ́n,ájén,3
kájɛ̀n,ájén,3
ájɛ̌n,ájén,3
aj,ájì,1
àjìnɛ̀,ájìnɛ̀,1
àjín,ájínɔ́,1
ájít̪ɔ́,ájít̪ɔ́,1
ájú,ájú,1
hágàrǔ,ákàɾó,2
hágàró,ákàɾó,2
ágârŋú,ákàɾŋóú,1
cálà,álà,1
áldɔ́ŋðɛ̀,álà_dɔ́ŋðɛ̀,1
ált̪ɔ́t̪ɛ̀,álà_t̪ɔ́t̪ɛ̀,1
álávə́lɛ̂ðɛ̌,álà_və́lɛ̀ðɛ̀,2
álávə́lɛ̂ðɛ̀,álà_və́lɛ̀ðɛ̀,2
álávə́lɛ̂ðɛ́r,álà_və́lɛ̀ðɛ̀ŕ,1
àɾàló,álàló,1
állów,álàlól,1
áláɽə̀ŋàt̪ǎr,álá_áɽə̀ŋàt̪àŕ,1
álágârà,álá_áɾà,1
áldɔ́ŋðà,álá_dɔ́ŋðà,1
álágârá,álá_káɾà,1
álágâràr,álá_káɾàŕ,1
álakə́lcà,álá_kə́lcà,2
álkə́lcà,álá_kə́lcà,2
álɜ́úr,álá_úrɔ̀,1
áláðə́gârà,álá_várà,1
álâvə̀lɛ̀ðɔ́,álá_və̀lɛ̀ðɔ́,1
álâvə̀lɛ̀ðɔ́r,álá_və̀lɛ̀ðɔ́ŕ,1
állárɔ́ðà,álá_ɾɔ́ðà,1
áŋátɛ́,álátɛ́,1
áláðɛ́gâɾǎ,álátɛ́_káɾà,1
áláðɛ́lǎ,álátɛ́l,1
áláðə́gâràr,áláðə́gâràr,1
áláðə́gârár,áláðə́gârár,1
álbríðɔ́,álbɾíðɔ́,3
álbrìðɔ̀,álbɾíðɔ́,3
álbríðɔ̀,álbɾíðɔ́,3
álɛ́là,álèŋà,1
álə́ŋɔ́,áléŋɔ́,1
álkə́lcì,álkúrcì,2
álkúrcì,álkúrcì,2
álkùrcɛ́,álkúɾcɛ́,1
álpúró,álpúɾɔ́,8
ɜ́lpúɾó,álpúɾɔ́,8
àlpùɾǒ,álpúɾɔ́,8
álpúrɔ́,álpúɾɔ́,8
álpùɾǒ,álpúɾɔ́,8
álpùrɔ́,álpúɾɔ́,8
álpúɾó,álpúɾɔ́,8
álpúɾɔ́,álpúɾɔ́,8
álpʊ́ɾɔ̂,álpʊ́ɾɔ́,2
álpʊ́ɾɔ́,álpʊ́ɾɔ́,2
álò,álú,5
áló,álú,5
lu,álú,5
lú,álú,5
álú,álú,5
álɛ́,álɛ́,6
álɛ̀,álɛ́,6
àlè,álɛ́,6
