index,word,token_count,lemma,phrase_count
2117,kə̀bùlìjátɛ́ŕ,2,bulij,1
2118,kə̀bùlìjéɲárɛ́,4,bulij,1
2119,kə̀bùlìjɜ́llíŕ,2,bulij,1
2120,kə̀bùlìjáɲà,4,bulij,1
2121,kə̀bùlìjáɲá,3,bulij,1
2122,kə́jɛ̀ðɛ̀,1,jɛð,1
2123,kə̀bùlìjáŋà,2,bulij,1
2124,vɔ́ðɔ̀,2,vɛð,1
2125,jáŋúl,7,aŋ,2
2126,lə̀bùlìjíl,3,bulij,1
2127,t̪ə́màt̪à,1,m-at̪,1
2128,lə́vàvɾà,46,lə̀vàvɾì,19
2129,lùrmùðɔ̀,3,urmuð,1
2130,ðáɽìðì,6,aɽ-ið,3
2131,kɔ́dɔ̀ŋɔ̀nɔ́,2,adɔŋɔn,1
2132,kə́dɔ̀ŋðɔ́,3,dɔŋð,3
2133,kə̀bɽánànǒ,1,kə̀bɽánànǒ,1
2134,kə̀mànìnɔ̀,4,man-in,3
2135,kə́ðìɲìjí,3,ðiɲ(1)-ij,1
2136,jít̪ɔ́,18,j-it̪,6
2137,lə́lɔ̀ɽà,1,lɔɽ,1
2138,lɔ́ɽá,9,lɔɽ,3
2139,kə̀r̀nà,3,rn,2
2140,jájàt̪à,7,jaj-at̪,6
2141,kɔ̀dɔ̀ŋɔ̀nɔ́,2,adɔŋɔn,1
2142,ðə́míɲá,13,miɲ,4
2143,ɲàðàt̪ɔ́,5,ð-at̪,1
2144,ɔ́nt̪ɔ̀,17,ant̪,6
2145,ɔ́nt̪ɔ́,9,ant̪,1
2146,t̪ə́mànú,3,man,2
2147,kìbìnáló,9,ib-in,4
2148,kə́dɔ̀ŋðɛ̀,3,dɔŋð,1
2149,lùmìnɔ̀,2,um-in,1
2150,lùmìnɔ́,14,um-in,4
2151,ŋìjɔ́,15,ij,11
2152,lòðì,5,lòðì,2
2153,jə́t̪ìjí,1,t̪(2)-ij,1
2154,ɲɛ́nɛ́,26,ŋɛ́n,7
2155,ŕà,3,r,2
2156,ɛ̀vàɾtɔ̀,3,ɛ̀vàɾtɔ̀,2
2157,náŋìt̪ɛ̀,2,aŋ-it̪,2
2158,jíjìnɔ̀,5,ij-in,3
2159,ŋə̀pɔ́,2,p,1
2160,ŋòðà,25,lòðì,12
2161,làŋmìɲú,5,amiɲ,1
2162,lə́làɽà,2,laɽ,1
2163,t̪ánt̪ɛ̀,1,ant̪,1
2164,ðábúðá,8,abuð,2
2165,ðúrɔ̀,6,ur,2
2166,ðúrɔ́,6,ur,2
2167,ðə́ŕlɔ́ɲɔ́,8,rlɛɲ,2
2168,kùrŋú,2,ur,1
2169,ðùdì,2,ud,1
2170,kɔ̀dɔ́,7,ɔd,2
2171,lə̀və̀lɛ̀ðɛ̀,31,vəlɛð,13
2172,kə̀pɔ́,4,p,2
2173,ðə̀bùlìjí,3,bulij,1
2174,àɾðɔ́,18,aɾð,11
2175,kə̀vr̀ðɔ́,2,vrð,1
2176,kə̀rŋìt̪ú,1,r-it̪,1
2177,kárŋìt̪ɔ̀,2,arŋ-it̪,1
2178,kárŋìt̪ɔ́,2,arŋ-it̪,1
2179,ákàɾŋóú,2,kaɾ,1
2180,jábòt̪ɔ́,4,abot̪,3
2181,ðə̀pɔ́,4,p,2
2182,ŋə̀və̀lɛ̀ðɔ́,9,vəlɛð,3
2183,lùmɔ́,3,um,2
2184,ḿɛ̀,11,m,5
2185,ŋùðì,3,lòðì,1
2186,kɛ́ɾɔ́,4,kɛɾ,1
2187,kɛ̀ɾá,3,kɛɾ,1
2188,ɾ̀làndá,6,ɾland,2
2189,jáŋàlà,10,ðàŋàl,3
2190,jàŋàl,31,ðàŋàl,8
2191,jə̀və̀lɛ̀ðɔ́l,23,vəlɛð,7
2192,m̀ɔ́,13,m,4
2193,lə̀və̀lɛ̀ðɔ́l,11,vəlɛð,4
2194,jáŋàl,25,ðàŋàl,7
2195,jɜ̀dí,25,ɜd,13
2196,àlkúɾcɛ́,26,àlkúrcì,12
2197,ìlɔ̀ðɔ̀,1,ilɛð,1
2198,járà,15,járà,9
2199,jìt̪ɔ̀t̪ɔ́,6,j-it̪-ɛt̪,4
2200,éd̪èɾá,3,èd̪ɛ̀ɾɛ́,2
2201,jàló,13,ŋgá,7
2202,lótùwɛ́l,14,òɽùwɛ́l,4
2203,ltúwɛ́lɛ́,19,òɽùwɛ́l,5
2204,úɽìðì,35,uɽið,14
2205,t̪áɽìt̪ɛ̀,2,aɽ-it̪,1
2206,ŋàcà,11,ŋac,6
2207,mút̪ɔ́,9,mut̪,4
2208,mùt̪ɔ́,21,mut̪,9
2209,lə̀mùt̪ɔ́,4,mut̪,1
2210,mút̪ɛ̀,3,mut̪,1
2211,mút̪ɔ̀,7,mut̪,3
2212,ŋə̀mùt̪ɔ́l,5,mut̪,1
2213,lə́ɾàcí,2,ɾac,1
2214,ŋídɔ̀t̪ɔ̀,5,id-ɛt̪,3
2215,èd̪èɾá,32,èd̪ɛ̀ɾɛ́,16
2216,ílɔ́ðɔ́,8,ilɛð,3
2217,lə̀ɾàcí,2,ɾac,1
2218,ɾácì,4,ɾac,1
2219,ɾácà,5,ɾac,2
2220,ɾàcí,8,ɾac,3
2221,kàɾcá,3,kaɾc,1
2222,ídɛ̀t̪ɛ̀,16,id-ɛt̪,9
2223,káɾcì,19,kaɾc,10
2224,lə̀bú,26,lə̀bú,8
2225,káɾcà,12,kaɾc,5
2226,kàɾcí,17,kaɾc,6
2227,álkúɾcɛ́,4,àlkúrcì,2
2228,ŋíðɛ̀t̪ɛ̀,5,ið-ɛt̪,3
2229,ðə̀mànɲà,3,ðə̀màn,1
2230,r̀mànɲà,3,ðə̀màn,1
2231,àlmúnd̪ɔ̀,9,àlmúndù,3
2232,jɛ̀lírvə́lɛ̂ðɛ̌rló,1,jɛ̀lírvə́lɛ̂ðɛ̌rló,1
2233,ɽìɲà,18,ɽiɲ,11
2234,ŋúrɔ̀t̪ɔ́,5,ur-ɛt̪,1
2235,ájàt̪ɔ́,9,j-at̪,7
2236,ŋíðìnɔ́ŋ,3,ið-in,3
2237,ŋùrìt̪ɛ̀,1,ur-it̪,1
2238,t̪ə̀r̀ɔ́t̪ɛ́,2,r,2
2239,ŋə̀rìt̪ɛ̀,1,r-it̪,1
2240,ɛ́núŋ,3,ɛ́<CL>úŋ,3
2241,ŋúɽìðì,12,uɽið,5
2242,ájáŋ̀,4,ájà,2
2243,ŋùd̪ɛ̀t̪ɛ̀,6,ud̪-ɛt̪,5
2244,ŋʊ̀dó,12,lʊ̀dó,6
2245,ðíɲú,4,ðìɲú,2
2246,ðə̀ɾ̀làndɔ́,6,ɾland,2
2247,âɾò,127,âɾò,42
2248,ŋɔ́ðɔ́,23,ɔð,14
2249,lə̀ŋàcíŋì,6,ŋac,2
2250,ŋɔ́ðɛ́,24,ŋɔ́ðɔ́,10
2251,ŋə̀ŋàcíŋì,3,ŋac,1
2252,làŋcíŋì,2,aŋc,1
2253,ŋàŋcí,6,aŋc,3
2254,ŋàŋcíŋì,5,aŋc,2
2255,ŋàŋì,10,aŋ,3
2256,láŋì,40,aŋ,15
2257,lə́nɛ̀ðɔ́,1,nɛð,1
2258,ðìnɔ́,131,ð-in,70
2259,nɛ́ðà,5,nɛð,3
2260,ŋáŋì,31,aŋ,7
2261,lə́ɲɛ̀làcí,3,ɲɛlac,1
2262,jàĺ,1,ŋgá,1
2263,lə̀nɛ̀ðɔ́,6,nɛð,2
2264,ðínɔ́,23,ð-in,9
2265,nɛ́ðɛ̀,2,nɛð,1
2266,ájàŕ,5,aj,1
2267,bàcʊ́mɛ́,10,bàcʊ̂m,4
2268,nàlbàcʊ́mɛ́,3,bàcʊ̂m,1
2269,nálpúɾɔ́,3,álpʊ́ɾɔ́,1
2270,nàŋná,3,ə̀ŋná,1
2271,nàlcʊ̀mú,3,cʊ̀mú,1
2272,dúnŋù,4,dún,1
2273,nɛ̀lɛ̀,3,ɛ̀là(1),1
2274,ɛ́lɔ́ŋú,4,ɛ́lɔ́(1),1
2275,nɛ́lé,11,ɛ́lê,4
2276,ɛ̀màðàló,7,ɛ̀màð,4
2277,nɛ́léɲé,8,ɛ́lê,3
2278,náɾàt̪ɛ̀,2,aɾ-at̪,1
2279,nɛ́ðɔ́,5,nɛð,2
2280,ðínɔ̀,5,ð-in,2
2281,nɛ̀ðá,3,nɛð,1
2282,nìlí,6,ìlí,2
2283,émàð,2,èmàð,1
2284,vɜ́ɽínɔ́,7,vɜɽ-in,5
2285,ját̪ɛ̀,1,j-at̪,1
2286,ŋídɛ̀t̪ɛ̀,1,id-ɛt̪,1
2287,ńdó,5,nd,3
2288,írí,14,íɾí,4
2289,nírí,10,íɾí,3
2290,nìt̪ìlɔ́,3,ìt̪ə̀lɔ́,1
2291,lə̀vàrà,12,var,4
2292,ŋə̀vàrà,3,var,1
2293,lə̀t̪ɾɔ̀,4,lə̀t̪ɾì,2
2294,láŋcɛ̀cì,1,aŋc-ɛc,1
2295,írcə̀cì,8,ircəc,4
2296,írcə̀cɔ̀,14,ircəc,7
2297,ðít̪ɾɛ́,10,ðìt̪rɔ́,5
2298,ðə̀ŋɛ̀ɾɔ̀,4,ðə̀ŋɛ̀ɾɔ̀,2
2299,èŋɛ̀ɾɔ̀,2,ðə̀ŋɛ̀ɾɔ̀,1
2300,ðə̀ŋɛ̀ɾà,4,ðə̀ŋɛ̀ɾɔ̀,1
2301,èŋɛ̀ɾà,3,ðə̀ŋɛ̀ɾɔ̀,1
2302,ðə̀d̪ùɾɔ̀t̪ɔ́,2,d̪uɾ-ɛt̪,2
2303,vɜ̀ɽìnɔ́,1,vɜɽ-in,1
2304,lə̀ɲɛ̀làcí,9,ɲɛlac,3
2305,ɲɛ́làcì,3,ɲɛlac,1
2306,ɲɛ́làcà,3,ɲɛlac,1
2307,lìrcə̀cí,4,ircəc,1
2308,t̪àɾìt̪ɔ́,5,aɾ-it̪,3
2309,ícə̀là,3,ìcə̀là,2
2310,kìjàt̪áŋá,2,ij-at̪,1
2311,t̪ɔ́ɾɔ́,2,ɔɾ,1
2312,ít̪rɛ́,5,ìt̪ə̀ɾɔ́,3
2313,ɲɛ́lácí,2,ɲɛlac,1
2314,ɲɛ̀làcá,28,ɲɛlac,8
2315,gɔ̂n,9,<CL>ɔ̂n,8
2316,ŋə̀jàjɔ́,2,jaj,2
2317,ɲɛ̀làcí,37,ɲɛlac,11
2318,lə́ɲɛ̀làcà,3,ɲɛlac,1
2319,nídúŋ,2,id,1
2320,ŋə̀r̀ɛ̀,2,r,1
2321,ŋə̀t̪ɛ̀,2,t̪,1
2322,ŋ̀tá,3,tá,1
2323,nûn,14,òn,6
2324,lə̀t̪úŋ,1,t̪(2),1
2325,ŋùd̪ɔ́,3,ud̪,3
2326,ŋə̀bùrŋ̀ŋúŋɛ́,1,burŋ,1
2327,t̪ə́ɽà,1,ɽa,1
2328,t̪ìjàt̪ɔ́,2,ij-at̪,2
2329,ðə́ɽà,1,ɽa,1
2330,vɜ́ɽìnɔ́,1,vɜɽ-in,1
2331,lɔ́ɾɔ̀,4,ɔɾ,3
2332,nûltùmtánì,3,nûltùmtánì,3
2333,t̪úmɔ́,1,um,1
2334,lùd̪ɔ̀,1,ud̪,1
2335,lɔ̀dɔ̀,1,ɜd,1
2336,lʊ́dó,4,lʊ̀dó,2
2337,nínà,1,nínà,1
2338,ámál,48,ámál,20
2339,lùró,6,lòró,2
2340,ŋùró,3,lòró,1
2341,ŋʊ̀mbə́ɽó,5,ŋʊ̀mbòɽó,3
2342,ɔ́ɾíɲɛ́,6,ɔ̀ɾì,1
2343,òmì,11,ʊ̀mì,5
2344,nòmì,8,ʊ̀mì,4
2345,ɲʊ̀mbə́ɽó,11,ŋʊ̀mbòɽó,4
2346,ðə̀rɔ́,3,ðɾɔ́,1
2347,t̪ɛ́l,15,ŋgá,8
2348,lɔ̀rlà,4,ɔrla,2
2349,lə̀və̀lɛ̀ðátɛ́ŕ,4,vəlɛð,2
2350,kə́ŋvə̀lɛ̀ðú,3,vəlɛð,2
2351,ðràvà,4,ðràvì,1
2352,ðə́láɽá,3,laɽ,1
2353,lə́dɔ̀ŋðɛ̀,2,dɔŋð,1
2354,lə́t̪ɔ̀t̪ɛ̀,3,t̪ɔt̪,1
2355,ðáɾà,12,aɾ,3
2356,lə̀vr̀ðɛ̀,4,vrð,2
2357,lə̀vr̀ðɔ̀,3,vrð,1
