file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
17693,0.0,4.18,himidan,-44.27691387559808,-50.87536392211914,11.799077971887524,7.926866857370149
1003,0.0,5.118,himidan,-39.35718536376953,-43.110207080841064,8.533999133420664,6.694115405852589
2253,0.0,6.02,himidan,-55.77056296719269,-58.94396816600453,8.132163503340397,13.055648380589925
8672,0.0,2.12,himidan,-44.735821418042455,-46.38887987638775,7.974859386050089,7.589610927792508
5392,0.0,1.57,himidan,-52.19436081807325,-50.73154389230829,6.398349821879592,5.330364525328971
14078,0.0,4.26,himidan,-43.031451731220656,-43.69724317278181,6.342681247236181,3.2548608064494893
16169,0.0,2.107,himidan,-52.90846693572275,-54.02089182535807,6.293578870111737,18.424098470210815
3616,0.0,4.18,himidan,-44.07326087769139,-46.7038503576208,6.119249833374222,8.93196022319481
15293,0.0,1.48,himidan,-47.86885359480574,-50.547779670128456,6.068935314394814,10.04025077522544
4552,0.0,6.78,himidan,-40.116089947455755,-41.46477112403283,5.8984343556991785,3.7501728559816776
4951,0.0,2.4,himidan,-42.92682698567708,-44.67311679615694,5.798515017332406,3.1416988717842678
12282,0.0,2.581,himidan,-60.17618625847868,-62.89939498901367,5.669174008366453,11.627948459283981
8846,0.0,2.48,himidan,-45.951597152217744,-48.251002720424104,5.558598367648722,5.32520105727045
11332,0.0,4.05,himidan,-53.69605999228395,-57.47488916837252,5.519272356606178,7.513325932432519
4945,0.0,3.08,himidan,-43.03290508319805,-45.71858893500434,5.500294242892283,4.829151079235338
12228,0.0,2.662,himidan,-53.665035391212406,-57.78013731303968,5.146065750499491,15.112750969928673
16214,0.0,2.92,himidan,-57.36525444135274,-53.51736464323821,5.146064638256072,10.452436068321507
5419,0.0,1.913,himidan,-41.52086571498691,-48.24076006962703,5.133329146352207,3.043134087869351
14988,0.0,2.8,himidan,-45.795682198660714,-50.946946207682295,4.7353705604699154,13.246697568153204
15601,0.0,3.38,himidan,-47.34288033931213,-46.68320553119366,4.621079173202653,6.252079130398402
4400,0.0,3.973,himidan,-40.5176396213791,-43.30274820327759,4.533855209884047,7.247622380442035
3627,0.0,5.6,himidan,-44.697412109375,-46.72532296949817,4.483753914651927,8.647646108406958
18366,0.0,5.0,himidan,-46.31409375,-46.96776940482003,4.483753914651927,9.381002813675906
11414,0.0,4.95,himidan,-50.277663352272725,-55.57636916637421,4.399651426042698,8.469644753413856
3902,0.0,2.79,himidan,-55.0026601702509,-54.387266495648554,4.382547831637804,9.074976497824753
8567,0.0,2.35,himidan,-42.01183510638298,-42.43280510675339,4.266890824243158,9.074059609402747
9919,0.0,1.9,himidan,-47.29481393914474,-50.08045450846354,4.266889442917132,10.334853364960978
2249,0.0,3.637,himidan,-57.91214156936813,-60.87609152958311,4.247757300728925,8.99838060104062
4639,0.0,2.24,himidan,-60.30385480608259,-61.17445755004883,4.232141580577091,2.554300661740843
6705,0.0,2.97,himidan,-46.03083241266835,-46.00139335964037,4.158299424759711,5.208335091806324
4873,0.0,3.75,himidan,-46.08413541666667,-48.63969157292293,4.035142994170807,4.178523801651696
2421,0.0,3.03,himidan,-45.537866774958744,-46.8110294342041,3.9838814117772663,8.878001642563632
5130,0.0,1.98,himidan,-43.98486821338384,-45.02804613113403,3.9818527023201122,1.8124536212947593
3463,0.0,3.72,himidan,-48.095766129032256,-48.667740276881624,3.980529246502255,9.76896168949217
19408,0.0,5.13,himidan,-55.98354120979532,-55.35769039651622,3.8642407450991207,3.2041456166689244
18349,0.0,2.45,himidan,-46.25854193239796,-51.07270187801785,3.857523700410404,6.784182655529985
8423,0.0,2.42,himidan,-38.96905668904959,-38.28328028592196,3.843396955543253,8.518066899416613
4893,0.0,2.86,himidan,-40.86486218859266,-43.29436592102051,3.843396955543253,4.25784921409921
15329,0.0,1.23,himidan,-44.37216558689025,-46.71072540283203,3.822045608338189,5.789175636984286
9952,0.0,1.95,himidan,-50.81513421474359,-50.68573808670044,3.81162000952886,7.194200074638859
19555,0.0,1.335,himidan,-41.99501880247202,-45.315506829155815,3.7756409251158614,8.39835282543669
4414,0.0,6.426,himidan,-38.32889349241835,-41.083807820859164,3.7512066921328477,8.06564460018087
88,0.0,3.09,himidan,-44.4672456512945,-45.774478912353516,3.7091572877313435,9.949090564355735
3449,0.0,2.64,himidan,-47.46011629971591,-49.20211181640625,3.7091568783625473,13.232606017337465
15603,0.0,2.99,himidan,-46.4497347930602,-44.997398147583006,3.699244096660409,6.589262753166786
6146,0.0,3.67,himidan,-45.50988270606267,-47.694144592285156,3.527491901152285,5.191201605798273
5189,0.0,2.89,himidan,-42.267081395977506,-46.25849577959846,3.5237839029478213,4.814638092541763
9233,0.0,1.51,himidan,-44.82135696916391,-46.680337344898895,3.5069790100422016,8.514213609619956
10024,0.0,1.51,himidan,-48.792781198261586,-51.257596757676865,3.486306742537131,6.06345142120251
495,0.0,2.54,himidan,-40.68431656003937,-42.02521748976274,3.4773000791423367,8.382516194543243
3625,0.0,6.76,himidan,-43.5067261464497,-47.30124092102051,3.470479676914461,11.027995229904722
8712,0.0,1.89,himidan,-46.63195477843915,-44.961760965983075,3.4127465998913906,7.162159691933223
5038,0.0,2.733,himidan,-44.94164591918498,-46.02439349630605,3.4071703587791307,5.144357788209216
15107,0.0,2.045,himidan,-42.79939977134146,-43.05432200431824,3.342624564523063,10.055579948789433
19392,0.0,3.94,himidan,-58.399994051395936,-57.67081035267223,3.33553120178155,4.399751222465564
4415,0.0,4.567,himidan,-40.11155891001094,-40.415612013443656,3.3259373916239126,7.06251740333577
16771,0.0,1.201,himidan,-47.1508544921875,-49.294179396195844,3.3108086997186614,4.294567008494589
11468,0.0,2.42,himidan,-52.68905362215909,-54.7856330871582,3.304247686240268,8.973085615270001
1427,0.0,1.76,himidan,-54.42653586647727,-56.43201719011579,3.2997325071366728,10.396783751209421
17862,0.0,2.64,himidan,-53.42531886245265,-60.46315689086914,3.297072739137643,12.60321873004144
6160,0.0,4.854,himidan,-42.897390463917525,-47.39745861551036,3.275900324167301,9.094407792751891
7975,0.0,2.3129375,himidan,-47.44630174512987,-48.61115665435791,3.2758988245632135,6.259307427229189
15641,0.0,1.56,himidan,-50.14738268729968,-54.4119805728688,3.2706036405081202,21.39720827926429
4421,0.0,2.932,himidan,-43.61607095243174,-46.18376083374024,3.2359477963667826,11.36716815582274
8625,0.0,2.31,himidan,-43.887035815746756,-44.69687950134277,3.1081499472238696,4.693214659600306
16887,0.0,4.28,himidan,-58.632575204439256,-61.56383602435772,3.099878578556585,4.013070326342575
17455,0.0,4.918,himidan,-45.6113678226626,-49.058107704951844,3.0961040375088107,8.662213790645659
15602,0.0,2.61,himidan,-46.170217462883144,-46.93489728655134,3.0961024240262836,12.31273919271495
4407,0.0,4.459,himidan,-44.69643357623318,-44.26148597717285,3.0825772438117074,4.963400892449153
18347,0.0,2.51,himidan,-46.325358721364545,-47.30962996049361,3.0784029816324714,11.738074124161926
9922,0.0,1.76,himidan,-49.5343017578125,-51.037089699193054,3.024307247578229,6.8433760718257695
11570,0.0,4.34,himidan,-50.52982340869816,-60.77732685634068,3.011715483418892,8.895277717805936
19434,0.0,3.68,himidan,-45.84993312669837,-44.994516621465266,2.9830588732034355,6.076025576571514
10828,0.0,2.893,himidan,-45.00044266327855,-45.80368175506592,2.9740724115191672,9.804587532235558
4423,0.0,3.534,himidan,-42.479890558604815,-44.24620196693822,2.965415438231207,10.058025613473129
20098,0.0,11.59,himidan,-43.99423330996549,-48.2098914324227,2.9633004699477588,7.058535517790034
1111,0.0,4.99,himidan,-44.070018944138276,-44.79583231608073,2.9006706259123995,7.199311050318668
3886,0.0,3.87,himidan,-54.203251170865634,-55.62930316016788,2.884991465494311,5.310479180068153
12807,0.0,2.06,himidan,-54.68583131067961,-51.719550704956056,2.884989828019127,10.311998822740549
